fighter,division,elo
Eric Schafer,Light Heavyweight,1484.0
Eric Schafer,Middleweight,1453.5892478410751
Jason Brilz,Light Heavyweight,1468.0645564145184
Mike Pierce,Welterweight,1547.1427985295115
Julio Paulino,Welterweight,1468.0
Brendan Schaub,Heavyweight,1520.9718722755854
Chase Gormley,Heavyweight,1484.0
John Howard,Welterweight,1449.3673479390873
John Howard,Middleweight,1482.1801305929844
Daniel Roberts,Welterweight,1485.2193141797852
Duane Ludwig,Lightweight,1484.0
Duane Ludwig,Welterweight,1466.289869973226
Darren Elkins,Lightweight,1499.263693206478
Darren Elkins,Featherweight,1564.0973775136438
Eliot Marshall,Light Heavyweight,1452.736306793522
Vladimir Matyushenko,Light Heavyweight,1498.5642384093742
Clay Guida,Lightweight,1485.6919054263828
Clay Guida,Featherweight,1510.9467458903387
Shannon Gugerty,Lightweight,1484.0
Alessio Sakara,Middleweight,1452.644468534168
James Irvin,Middleweight,1484.0
James Irvin,Light Heavyweight,1468.736306793522
Cheick Kongo,Heavyweight,1529.170547237773
Paul Buentello,Heavyweight,1484.0
Junior Dos Santos,Heavyweight,1536.3634674438704
Gabriel Gonzaga,Heavyweight,1479.47233460983
Brandon Vera,Light Heavyweight,1483.357784327924
Brandon Vera,Heavyweight,1468.1137180778412
Jon Jones,Light Heavyweight,1720.4714168485311
Jon Jones,Heavyweight,1743.3283425749394
Ricardo Almeida,Welterweight,1500.736306793522
Matt Brown,Welterweight,1523.4975657253437
Rousimar Palhares,Middleweight,1511.3252727798726
Rousimar Palhares,Welterweight,1530.5941272979858
Tomasz Drwal,Middleweight,1468.0339081301693
Georges St-Pierre,Welterweight,1594.4099049062415
Georges St-Pierre,Middleweight,1611.1144577497585
Dan Hardy,Welterweight,1478.7116802692833
Frank Mir,Heavyweight,1476.3737375309731
Shane Carwin,Heavyweight,1484.766810297684
Kurt Pellegrino,Lightweight,1483.2976013366472
Fabricio Camoes,Lightweight,1457.011217537721
Nate Diaz,Welterweight,1517.1768149768807
Nate Diaz,Lightweight,1536.60287041152
