,winner,method,weightclass,red_slpm,red_str_acc,red_sapm,red_str_def,red_td_avg,red_td_acc,red_td_def,red_sub_avg,blue_slpm,blue_str_acc,blue_sapm,blue_str_def,blue_td_avg,blue_td_acc,blue_td_def,blue_sub_avg,red_fighter_elo,blue_fighter_elo
0,1,1,0,5.06,0.45,3.34,0.56,1.28,0.34,0.63,0.3,2.82,0.54,3.64,0.49,1.69,0.35,0.58,1.4,1597.8879820896905,1620.9765515940398
1,1,1,7,3.25,0.6,2.21,0.44,4.74,0.38,0.66,1.4,2.36,0.59,2.11,0.58,3.34,0.53,1.0,2.9,1552.8149475462692,1543.159257656112
2,0,1,8,4.78,0.41,4.68,0.61,0.6,0.27,0.71,0.0,7.39,0.48,5.39,0.57,0.55,0.54,0.63,0.1,1538.6952579038073,1576.8875765070338
3,1,6,0,3.22,0.53,1.39,0.62,3.24,0.62,0.68,0.4,5.11,0.53,3.88,0.61,0.99,0.46,0.84,0.0,1606.3881714376653,1549.4770357695893
4,0,6,0,5.1,0.39,4.13,0.59,0.0,0.0,0.57,0.0,4.49,0.39,4.26,0.54,1.58,0.25,0.2,1.3,1499.3253714679836,1517.4633926082513
5,0,6,6,3.15,0.4,3.14,0.58,1.11,0.38,0.62,0.4,5.56,0.41,4.46,0.48,4.24,0.52,0.8,0.0,1454.323827693941,1527.8696256529915
6,1,6,9,4.42,0.58,3.07,0.52,0.87,0.5,0.53,0.1,2.62,0.44,3.05,0.51,1.97,0.3,0.56,1.2,1520.9816450362853,1517.671163259358
7,0,1,7,5.76,0.71,2.51,0.5,1.57,0.14,1.0,1.6,7.59,0.61,4.48,0.46,2.59,0.33,1.0,0.0,1500.033848302405,1532.701159341897
8,0,1,12,4.51,0.46,3.01,0.55,0.27,0.5,0.61,0.3,2.86,0.48,2.86,0.56,2.74,0.4,0.41,0.9,1500.8330435391242,1585.9771766458368
9,0,5,0,3.28,0.49,2.4,0.5,0.66,1.0,0.42,0.0,2.7,0.37,4.53,0.47,3.15,0.35,1.0,0.5,1496.5959877027526,1488.0642575614124
10,1,6,4,3.74,0.59,2.94,0.57,4.42,0.66,1.0,0.6,3.22,0.43,3.61,0.46,0.59,0.38,0.46,0.0,1502.688087153885,1484.736306793522
11,1,6,11,2.73,0.44,3.78,0.36,2.2,0.38,0.44,1.3,1.91,0.41,2.05,0.56,2.12,0.38,0.61,0.8,1499.288388037546,1467.1067503656484
12,1,6,8,4.77,0.54,2.77,0.51,1.02,0.33,0.73,0.4,3.6,0.54,4.79,0.48,0.25,1.0,0.83,0.0,1586.5458472595071,1553.8906618243948
13,0,1,5,3.19,0.49,5.04,0.44,0.44,0.22,0.5,0.6,10.91,0.64,4.55,0.53,0.0,0.0,0.5,0.0,1519.6614390510654,1547.4759806256434
14,0,6,2,3.82,0.42,3.48,0.6,0.19,0.33,0.65,0.2,5.24,0.5,4.73,0.52,1.08,0.3,0.52,0.5,1566.866860012276,1552.2937101808432
15,0,6,7,4.5,0.52,4.33,0.51,1.14,0.52,0.76,0.7,3.21,0.48,3.68,0.56,2.65,0.57,1.0,0.2,1570.7923723433737,1540.61692350289
16,1,1,8,4.47,0.47,3.26,0.54,0.79,0.39,0.73,0.6,4.05,0.43,3.69,0.52,0.98,0.27,0.58,0.1,1613.794709074178,1528.4342738908904
17,1,1,7,7.76,0.62,5.78,0.41,1.14,0.33,1.0,1.1,2.04,0.49,2.33,0.51,4.02,0.49,0.35,1.2,1539.8609950727232,1544.4075581503491
18,1,6,3,4.13,0.4,4.17,0.55,0.49,0.4,0.43,1.2,1.67,0.5,4.7,0.43,2.36,0.33,0.0,3.5,1508.3478555867523,1467.7484553952434
19,1,6,6,5.66,0.5,4.94,0.57,0.48,0.15,0.4,0.5,4.83,0.48,6.53,0.44,0.0,0.0,0.64,0.0,1500.8819257700295,1483.2707074830892
20,1,4,2,4.59,0.58,2.65,0.63,0.24,0.25,0.7,0.1,4.42,0.5,4.94,0.53,1.68,0.37,0.73,0.1,1547.9970689999673,1503.9141145322
21,1,6,0,4.7,0.46,4.15,0.52,1.56,0.36,0.71,1.6,2.82,0.32,5.12,0.57,1.74,0.43,0.75,0.0,1538.6331947158394,1514.825905678858
22,1,1,0,5.82,0.61,6.27,0.53,0.0,0.0,1.0,0.0,5.3,0.46,4.14,0.51,0.89,0.28,0.47,0.7,1516.5734451958265,1495.8840948669128
23,1,5,12,2.68,0.53,1.43,0.64,2.22,0.37,0.0,4.8,2.74,0.4,2.5,0.53,0.75,0.33,0.35,1.7,1548.1118021794528,1470.42377977295
24,1,1,2,3.12,0.42,4.3,0.58,1.11,0.26,0.8,0.0,4.56,0.49,6.44,0.44,0.0,0.0,0.71,0.0,1484.819845363838,1466.5993233897368
25,0,1,9,3.55,0.45,4.44,0.4,0.87,0.6,0.28,0.0,4.62,0.53,3.2,0.49,1.31,0.41,0.61,0.6,1490.2473664787856,1528.0023347465126
26,1,6,2,6.18,0.56,3.36,0.58,1.67,0.34,0.7,0.2,3.7,0.47,4.76,0.46,0.35,0.4,0.67,1.9,1684.7729657271243,1549.0881705136153
27,0,1,6,4.04,0.49,4.52,0.43,1.96,0.41,0.61,0.6,5.19,0.53,3.14,0.42,0.96,0.28,0.5,1.7,1486.7503971819538,1604.6150658435995
28,1,6,2,4.65,0.46,3.78,0.52,0.71,0.29,0.59,0.6,2.45,0.4,4.48,0.57,0.69,0.2,0.88,0.7,1598.5868346439045,1487.9027052631568
29,0,5,2,2.44,0.59,1.64,0.6,3.27,0.36,0.33,1.3,4.87,0.52,4.13,0.56,0.6,0.5,0.86,0.9,1567.0692157673457,1565.3242330754172
30,0,1,5,4.33,0.54,2.49,0.44,2.24,0.38,0.53,1.4,5.58,0.54,3.54,0.5,0.31,0.28,0.82,0.3,1537.7155655353586,1570.9962089223363
