fighter_name,elo,fights,wins,win_ratio
Rosi Sexton,1441.2544483458512,2,0,0.0
Damien Brown,1457.6791271660372,6,2,0.3333333333333333
ChangHo Lee,1522.4,1,1,1.0
Russell Doane,1455.3008478593952,8,3,0.375
Chuck O'Neil,1471.2,1,0,0.0
Michael Page,1519.6859253162902,2,1,0.5
Tom Lawlor,1526.6233919373349,8,4,0.5
Gerald Harris,1537.8432611185256,3,2,0.6666666666666666
Dominick Cruz,1631.9201867951394,10,7,0.7
Carlos Hernandez,1473.9630913328872,6,3,0.5
Damon Jackson,1517.9130289538462,12,6,0.5
Igor Pokrajac,1464.6342515243205,10,4,0.4
Jason Brilz,1428.73219954486,4,1,0.25
Charlie Campbell,1563.5274195727134,2,2,1.0
Mark Hunt,1541.0577742871938,16,8,0.5
Antonina Shevchenko,1512.2112065323977,8,4,0.5
Papy Abedi,1418.2577062505538,4,1,0.25
Luke Rockhold,1580.404408245269,11,6,0.5454545454545454
Alexandra Albu,1484.2041517599953,4,2,0.5
Jon Jones,1877.2489797551673,19,19,1.0
Song Yadong,1685.1242601693555,13,10,0.7692307692307693
Grigorii Popov,1439.833309257669,2,0,0.0
Joe Solecki,1567.170399062623,8,5,0.625
Dricus Du Plessis,1769.4032611432872,8,8,1.0
Umar Nurmagomedov,1692.7911418661085,6,6,1.0
Stephanie Luciano,1530.6542361701695,1,1,1.0
Ji Yeon Kim,1427.6833989264292,10,3,0.3
Cortavious Romious,1470.1258577768276,1,0,0.0
Kenny Robertson,1519.86914142709,9,4,0.4444444444444444
Sheila Gaff,1427.4269273965592,2,0,0.0
Bojan Velickovic,1486.9172759747428,5,2,0.4
Steve Cantwell,1412.675321305035,3,0,0.0
Kalinn Williams,1535.9465819688141,1,1,1.0
Chris Tuchscherer,1426.9597731640918,2,0,0.0
Genaro Valdez,1405.9937485115072,3,0,0.0
Brok Weaver,1446.411815647723,3,1,0.3333333333333333
Tateki Matsuda,1451.8273351776168,2,0,0.0
Andrei Arlovski,1494.3669989081677,27,13,0.48148148148148145
Tom Blackledge,1461.6,1,0,0.0
Alan Jouban,1569.3639458015864,13,8,0.6153846153846154
Dominick Reyes,1625.2364188145198,11,7,0.6363636363636364
Charlie Brenneman,1403.945797787227,11,4,0.36363636363636365
Reza Madadi,1526.0676295751873,7,3,0.42857142857142855
Armen Petrosyan,1493.7223854215272,6,3,0.5
Fredy Serrano,1509.5124714447086,4,2,0.5
Shamil Gamzatov,1485.1886178789605,2,1,0.5
