fighter_name,elo,fights,wins,win_ratio
Dequan Townsend,1377.7363578508803,4,0,0.0
Tecia Pennington,1517.7521392277577,2,1,0.5
Cesar Arzamendia,1433.0909564005292,2,0,0.0
Dione Barbosa,1524.2219082971692,3,2,0.6666666666666666
Johnny Munoz,1455.3982912908068,6,2,0.3333333333333333
Bojan Mihajlovic,1396.5156177172275,3,0,0.0
Aljamain Sterling,1743.3920381108344,21,16,0.7619047619047619
Jesse Forbes,1461.6,1,0,0.0
Thales Leites,1590.7609348192232,13,8,0.6153846153846154
Chase Hooper,1629.6493236306505,11,8,0.7272727272727273
Jesus Pinedo,1500.9001661838417,2,1,0.5
Mounir Lazzez,1491.445205059678,4,2,0.5
Marcus LeVesseur,1442.5875578870166,3,1,0.3333333333333333
Dean Barry,1483.5741392043096,1,0,0.0
Mike Guymon,1448.5044340600894,3,1,0.3333333333333333
Chris Fishgold,1455.5382270009807,4,1,0.25
Wagner Campos,1461.6,1,0,0.0
Ciryl Gane,1727.6235897358956,12,10,0.8333333333333334
Hunter Azure,1501.7148219384396,4,2,0.5
Mike Rodriguez,1439.75355649828,7,2,0.2857142857142857
Juan Adams,1428.0194149246997,4,1,0.25
MarQuel Mederos,1549.912996985484,2,2,1.0
Max Rohskopf,1462.400132778622,1,0,0.0
Mike Rhodes,1416.2295396899112,3,0,0.0
Paulo Thiago,1384.139154496913,9,2,0.2222222222222222
Joe Ellenberger,1481.527685106441,2,1,0.5
Artem Lobov,1454.9625878648926,7,2,0.2857142857142857
Tom Nolan,1549.5277291874252,4,3,0.75
Ruslan Magomedov,1584.4412118376154,3,3,1.0
Pedro Munhoz,1580.248667031732,20,10,0.5
Charlie Ward,1427.4269273965592,2,0,0.0
Ismael Bonfim,1523.5587151094483,4,2,0.5
Leandro Issa,1481.1066616436894,5,2,0.4
James Vick,1571.8231538365872,14,9,0.6428571428571429
Lucas Alexander,1427.350698806899,4,1,0.25
Ednaldo Oliveira,1430.1079237806564,2,0,0.0
Jack May,1428.4616529678956,2,0,0.0
Luan Chagas,1461.7584835940363,3,1,0.3333333333333333
Rob Kimmons,1451.7340944139637,3,1,0.3333333333333333
Nick Pace,1479.8234243210884,3,1,0.3333333333333333
Zhalgas Zhumagulov,1423.0348451611142,6,1,0.16666666666666666
Daria Zhelezniakova,1494.461350502,2,1,0.5
Jailton Almeida,1699.8957193449419,9,8,0.8888888888888888
Nick Ring,1520.1482147701258,6,3,0.5
Garrett Armfield,1469.0756439013917,5,2,0.4
Maryna Moroz,1518.9902959884437,11,6,0.5454545454545454
Enrique Barzola,1559.6687453862369,9,6,0.6666666666666666
Marcio Alexandre Junior,1422.3235137194624,3,0,0.0
Roland Delorme,1510.4640848028882,6,3,0.5
Jiri Prochazka,1656.0510719756728,7,5,0.7142857142857143
Melissa Martinez,1496.267229948083,2,1,0.5
Daniel Marcos,1592.5436092648104,5,4,0.8
Khaos Williams,1592.5755392918763,8,5,0.625
Lorenz Larkin,1562.83509660639,10,5,0.5
Jamahal Hill,1627.9133498334768,10,7,0.7
Cung Le,1491.024408563106,4,2,0.5
Ryan Janes,1500.58528548316,4,2,0.5
Joe Soto,1491.3996304948453,8,3,0.375
Daichi Abe,1474.2837790431297,3,1,0.3333333333333333
Maiquel Falcao,1534.7298114849152,1,1,1.0
Alatengheili,1533.378396702073,5,3,0.6
Connor Matthews,1429.5772281342668,2,0,0.0
Gegard Mousasi,1693.1615356556977,12,9,0.75
Joe Gigliotti,1444.3822201584073,2,0,0.0
Nate Quarry,1461.6,1,0,0.0
Antonio Banuelos,1471.2,1,0,0.0
Konstantin Erokhin,1441.5008686442882,2,0,0.0
